entity:participant_id	Site
SRS011243	Tongue_dorsum
SRS013234	Tongue_dorsum
SRS013506	Buccal_mucosa
SRS014888	Tongue_dorsum
SRS015374	Buccal_mucosa
SRS015646	Buccal_mucosa
SRS015941	Tongue_dorsum
SRS016086	Tongue_dorsum
SRS016342	Tongue_dorsum
SRS017687	Buccal_mucosa
SRS017713	Tongue_dorsum
SRS019219	Tongue_dorsum
SRS019221	Buccal_mucosa
SRS019327	Tongue_dorsum
SRS019329	Buccal_mucosa
SRS020336	Buccal_mucosa
SRS022145	Buccal_mucosa
SRS022532	Buccal_mucosa
SRS043663	Tongue_dorsum
SRS045049	Buccal_mucosa
