entity:sample_id		participant_id	FASTQs
SRS011243_sample		SRS011243	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS011243.tar.bz2
SRS013234_sample		SRS013234	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS013234.tar.bz2
SRS013506_sample		SRS013506	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS013506.tar.bz2
SRS014888_sample		SRS014888	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS014888.tar.bz2
SRS015374_sample		SRS015374	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS015374.tar.bz2
SRS015646_sample		SRS015646	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS015646.tar.bz2
SRS015941_sample		SRS015941	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS015941.tar.bz2
SRS016086_sample		SRS016086	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS016086.tar.bz2
SRS016342_sample		SRS016342	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS016342.tar.bz2
SRS017687_sample		SRS017687	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS017687.tar.bz2
SRS017713_sample		SRS017713	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS017713.tar.bz2
SRS019219_sample		SRS019219	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS019219.tar.bz2
SRS019221_sample		SRS019221	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS019221.tar.bz2
SRS019327_sample		SRS019327	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS019327.tar.bz2
SRS019329_sample		SRS019329	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS019329.tar.bz2
SRS020336_sample		SRS020336	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS020336.tar.bz2
SRS022145_sample		SRS022145	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS022145.tar.bz2
SRS022532_sample		SRS022532	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS022532.tar.bz2
SRS043663_sample		SRS043663	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS043663.tar.bz2
SRS045049_sample		SRS045049	gs://fc-1b170dd4-71d1-438c-ba40-499833086f7a/MetaInput/SRS045049.tar.bz2
